Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Temp_diff,Torque_per_rpm,Real,Predito,Prob_Falha
M,302.3,310.7,1544,39.7,141,8.399999999999977,0.02571243523314397,0,0,0.4931964353727295
L,298.9,310.1,2109,18.0,61,11.200000000000045,0.008534850640109752,0,0,0.0954443762552548
M,300.8,310.9,1522,41.7,115,10.099999999999966,0.02739816031535651,0,0,0.24439873474072837
L,295.8,306.4,1356,48.0,99,10.599999999999966,0.03539823008846947,0,0,0.24371688973797553
L,299.9,311.3,1504,40.7,20,11.400000000000034,0.027061170212747968,0,0,0.04294316637371036
L,299.3,309.2,1775,24.2,125,9.899999999999977,0.013633802816893727,0,0,0.10721619877746277
M,303.8,312.7,1507,38.5,180,8.899999999999977,0.0255474452554575,0,0,0.45380858876020735
H,298.4,307.9,1700,28.2,120,9.5,0.01658823529410789,0,0,0.13566894848252672
L,299.3,308.6,1422,48.9,83,9.300000000000011,0.03438818565398426,0,0,0.45320947761199903
L,296.7,307.7,1524,36.8,82,11.0,0.024146981627280743,0,0,0.057726438624250136
L,301.4,310.4,1471,37.5,193,9.0,0.02549286199862305,0,0,0.3964820842743107
M,297.2,308.8,1485,47.9,143,11.600000000000023,0.032255892255870534,0,0,0.2691326263191232
M,299.8,309.2,1678,29.8,202,9.399999999999977,0.01775923718711695,0,0,0.3058848730719229
H,303.3,311.4,1651,30.6,50,8.099999999999966,0.018534221683816757,0,0,0.1720782383007708
L,300.1,310.5,1627,29.2,95,10.399999999999977,0.017947141979091613,0,0,0.055157165790819696
L,301.1,311.7,1408,46.3,135,10.599999999999966,0.03288352272724937,0,0,0.3092695617139105
M,302.7,312.0,1538,36.7,74,9.300000000000011,0.023862158647578766,0,0,0.1531305101403597
L,302.6,310.4,1359,57.2,67,7.7999999999999545,0.04208977189106543,1,1,0.865166767509192
M,298.8,309.9,1331,61.6,46,11.099999999999966,0.04628099173550242,0,0,0.574497144996343
M,299.3,308.9,1858,24.7,101,9.599999999999966,0.01329386437028348,0,0,0.15686853709546442
M,297.5,308.1,1334,72.0,151,10.600000000000023,0.053973013493212915,1,1,0.9677642772824233
L,298.1,308.7,1691,30.3,49,10.599999999999966,0.017918391484318202,0,0,0.046230996876405174
L,302.7,312.3,1858,25.4,2,9.600000000000023,0.013670613562963578,0,0,0.07333552149232976
L,298.2,308.4,1388,53.8,137,10.199999999999989,0.038760806916398584,0,0,0.6328147914260611
M,297.4,309.3,1564,36.0,126,11.900000000000034,0.023017902813284516,0,0,0.05606148497018684
L,300.5,310.5,1536,36.2,12,10.0,0.02356770833331799,0,0,0.05277175134788526
M,297.9,307.4,1403,52.8,0,9.5,0.03763364219526897,0,0,0.34238573298883546
M,298.2,309.0,1441,44.2,147,10.800000000000011,0.030673143650221602,0,0,0.24315043298216585
L,297.3,308.5,1350,57.6,186,11.199999999999989,0.042666666666635066,0,0,0.7381148090285106
M,298.3,307.8,1392,50.4,101,9.5,0.03620689655169813,0,0,0.5053873978438116
L,303.9,313.1,1586,31.9,108,9.200000000000045,0.020113493064300055,0,0,0.1514281042237502
M,301.0,312.2,1629,32.6,69,11.199999999999989,0.02001227747082872,0,0,0.042544488087370054
L,297.4,308.8,1467,39.0,128,11.400000000000034,0.0265848670756465,0,0,0.08276554850523576
H,300.0,309.5,1781,24.9,70,9.5,0.013980909601339707,0,0,0.08917896242478376
L,297.6,308.6,1528,40.0,123,11.0,0.026178010471187056,0,0,0.1348638516380877
M,302.2,311.5,1734,25.0,116,9.300000000000011,0.014417531718561466,0,0,0.12575278933996928
L,301.7,310.7,1763,25.9,3,9.0,0.014690867838902614,0,0,0.06495397468360371
L,298.7,309.8,1394,40.3,11,11.100000000000023,0.028909612625517278,0,0,0.030832068160806424
M,302.9,312.5,1679,30.9,79,9.600000000000023,0.018403811792722807,0,0,0.11846179297766438
H,298.8,308.6,1524,37.7,170,9.800000000000011,0.02473753280838272,0,0,0.2737683730239837
L,298.3,308.6,1548,40.3,140,10.300000000000011,0.02603359173124933,0,0,0.2433888300356332
L,299.1,310.2,1317,54.8,231,11.099999999999966,0.041609719058434615,1,0,0.7566218175060995
M,302.9,311.2,1330,53.7,200,8.300000000000011,0.04037593984959371,1,1,0.9132429479044871
L,295.9,306.6,1678,26.7,53,10.700000000000045,0.015911799761611493,0,0,0.025625828868214972
L,301.3,310.8,1719,29.5,62,9.5,0.01716114019777943,0,0,0.10663807697666834
M,300.7,310.6,1474,37.0,33,9.900000000000034,0.02510176390771703,0,0,0.06069714457843185
M,297.2,308.5,1604,40.7,158,11.300000000000011,0.02537406483788942,0,0,0.21099257606459232
L,298.6,309.7,1429,45.8,113,11.099999999999966,0.03205038488451221,0,0,0.19445855782711574
H,301.7,311.2,1639,30.0,161,9.5,0.018303843807188344,0,0,0.19648325002791941
L,297.7,307.2,1668,32.7,31,9.5,0.01960431654675084,0,0,0.08551424949753207
L,296.3,307.3,1398,52.7,31,11.0,0.03769670958509464,0,0,0.2222545437940176
M,302.3,311.6,1668,33.2,52,9.300000000000011,0.019904076738597183,0,0,0.13290798502618287
M,297.6,308.4,1611,31.0,48,10.799999999999955,0.019242706393532438,0,0,0.02979846034616726
H,304.1,313.3,1689,32.5,134,9.199999999999989,0.019242155121362202,0,0,0.2928773883556926
L,300.8,310.6,1663,30.6,139,9.800000000000011,0.018400481058317257,0,0,0.16234831783018816
H,300.3,311.9,1390,49.0,194,11.599999999999966,0.035251798561125716,0,0,0.4015888457323568
M,303.1,311.4,1831,23.3,161,8.299999999999955,0.012725286728556677,0,0,0.37383429640662497
L,297.6,309.5,2001,20.5,220,11.899999999999977,0.01024487756121427,0,0,0.19236798172008351
L,301.2,310.6,1385,49.2,105,9.400000000000034,0.035523465703945475,0,0,0.502623294049621
L,299.3,308.9,1623,31.1,152,9.599999999999966,0.019162045594566135,0,0,0.17559062554471444
L,298.5,309.5,1480,38.1,160,11.0,0.02574324324322585,0,0,0.13040715138168055
M,298.5,308.6,1384,54.4,44,10.100000000000023,0.03930635838147449,0,0,0.42608354598901205
H,298.8,308.8,1445,49.9,4,10.0,0.03453287197229444,0,0,0.22382534643403088
M,297.4,309.4,1539,42.2,134,12.0,0.027420402858981535,0,0,0.11883503646555076
M,301.9,310.8,1557,35.3,65,8.900000000000034,0.022671804752715047,0,0,0.15282940361842348
L,301.3,311.1,1303,49.2,212,9.800000000000011,0.03775901765154432,0,0,0.6892085070410227
L,301.1,310.8,1470,49.3,116,9.699999999999989,0.03353741496596358,0,0,0.5324301461687331
M,300.4,309.5,1888,21.9,221,9.100000000000023,0.011599576271180296,0,0,0.4370331038133122
L,301.1,312.3,1682,29.7,83,11.199999999999989,0.01765755053506679,0,0,0.04410339528539762
L,302.6,311.6,1453,37.0,135,9.0,0.025464556090829,0,0,0.24225087596870987
H,298.4,308.5,1827,24.3,153,10.100000000000023,0.01330049261083016,0,0,0.16024564004047354
L,297.1,308.5,1425,40.0,35,11.399999999999977,0.028070175438576792,0,0,0.033256025843145375
M,302.0,310.6,1563,41.0,184,8.600000000000023,0.02623160588609966,0,0,0.6352880009201576
L,302.2,310.8,1340,47.8,54,8.600000000000023,0.03567164179101815,0,0,0.41892415184439397
L,300.8,312.4,1465,59.1,91,11.599999999999966,0.04034129692830011,1,0,0.5529006178285382
L,295.8,306.4,1339,53.2,67,10.599999999999966,0.039731142643734334,0,0,0.34734475236830803
M,301.7,311.0,1505,44.0,187,9.300000000000011,0.02923588039865167,0,0,0.6003727261466045
M,300.7,310.9,1486,38.9,106,10.199999999999989,0.026177658142647255,0,0,0.13931281664239403
L,301.9,309.6,1446,43.2,225,7.7000000000000455,0.02987551867217851,0,0,0.8157400474038414
H,302.4,311.6,1544,39.1,70,9.200000000000045,0.02532383419687479,0,0,0.21256503097669355
M,298.4,309.3,1355,50.6,8,10.900000000000034,0.03734317343170676,0,0,0.1416369491365027
L,300.5,311.5,1490,38.4,67,11.0,0.025771812080519617,0,0,0.06018789931358944
M,302.2,311.3,1510,36.6,91,9.100000000000023,0.02423841059601044,0,0,0.1754730717241844
M,302.9,312.5,1924,24.0,17,9.600000000000023,0.01247401247400599,0,0,0.10188623271711036
L,300.4,309.6,1356,45.9,64,9.200000000000045,0.03384955752209893,0,0,0.2875624879070172
L,300.1,309.5,1557,40.6,59,9.399999999999977,0.026075786769411642,0,0,0.2082043198836259
M,299.1,308.2,1435,45.2,45,9.099999999999966,0.031498257839699305,0,0,0.26060295630562386
M,298.7,309.7,1622,34.6,8,11.0,0.02133168927248993,0,0,0.030753724270103425
L,298.4,308.0,1515,42.8,125,9.600000000000023,0.028250825082489602,0,0,0.34854399223862376
M,299.9,309.2,1539,43.2,132,9.300000000000011,0.028070175438578253,0,0,0.4442379774067414
L,301.4,310.7,1487,44.6,88,9.300000000000011,0.02999327505041695,0,0,0.3579943873663668
H,300.9,312.0,1397,42.7,212,11.100000000000023,0.030565497494609475,0,0,0.2911138738278343
M,299.8,309.7,1910,21.8,141,9.899999999999977,0.011413612565439052,0,0,0.1881738447068043
L,302.4,311.2,1466,43.9,152,8.800000000000011,0.029945429740770843,0,0,0.5606609102952047
L,303.0,312.7,1551,41.8,111,9.699999999999989,0.0269503546099117,0,0,0.3216411406559308
M,300.3,309.9,1494,38.5,33,9.599999999999966,0.025769745649246473,0,0,0.09314135266985947
H,298.3,308.6,1432,49.5,91,10.300000000000011,0.03456703910612111,0,0,0.3531143241978149
M,297.5,309.4,1678,34.4,148,11.899999999999977,0.020500595947544397,0,0,0.09020047057048627
L,297.8,308.9,1871,25.6,200,11.099999999999966,0.01368252271511829,1,0,0.20441242512526572
L,302.8,310.8,1402,50.5,30,8.0,0.03601997146930384,0,0,0.5799798926441616
L,297.5,308.4,1440,35.9,13,10.899999999999977,0.02493055555553824,0,0,0.020157911413125736
H,296.4,307.1,1638,32.5,146,10.700000000000045,0.01984126984125773,0,0,0.11223975851887781
L,298.8,310.1,1574,36.2,181,11.300000000000011,0.022998729351954895,0,0,0.14608795419319373
L,300.7,312.3,1548,37.9,58,11.600000000000023,0.024483204134351108,0,0,0.04509280203469074
M,302.3,310.9,1360,44.0,67,8.599999999999966,0.0323529411764468,1,0,0.30989765175994405
L,301.3,310.6,1556,39.0,72,9.300000000000011,0.025064267352168983,0,0,0.2069497238358073
M,298.4,309.3,1496,45.6,129,10.900000000000034,0.03048128342243952,0,0,0.26552107859993285
H,297.7,307.2,1429,44.1,26,9.5,0.030860741777445164,0,0,0.15751162877456903
L,298.0,307.7,1387,50.8,204,9.699999999999989,0.03662581110307381,0,0,0.7423234740096277
L,303.8,312.6,1793,28.1,170,8.800000000000011,0.015672058003337607,0,0,0.4249677804206812
L,302.2,311.5,1567,33.1,168,9.300000000000011,0.021123165283968653,0,0,0.2484095897799158
L,298.7,309.7,1547,37.4,0,11.0,0.024175824175808547,0,0,0.03130936166420199
M,297.4,308.5,1472,42.0,150,11.100000000000023,0.028532608695632792,0,0,0.17531493650573257
L,299.7,310.4,1614,36.2,108,10.699999999999989,0.022428748451039388,0,0,0.12024563659148857
H,300.2,310.4,1501,42.9,212,10.199999999999989,0.028580946035956973,0,0,0.4872072618616569
L,301.6,310.6,1621,33.7,137,9.0,0.020789636027130916,0,0,0.2794079289860901
M,298.9,310.0,1456,43.8,15,11.100000000000023,0.03008241758239692,0,0,0.06261367576304201
L,300.4,310.0,1581,30.3,42,9.600000000000023,0.019165085388982185,0,0,0.04807105631268156
M,299.7,310.7,1498,37.8,146,11.0,0.025233644859796237,0,0,0.1172564977632034
L,299.7,309.2,1616,31.6,175,9.5,0.019554455445532457,0,0,0.23147125781950728
L,298.2,308.0,1535,38.0,179,9.800000000000011,0.02475570032571677,0,0,0.30782216524046946
M,299.7,309.3,1399,41.9,221,9.600000000000023,0.029949964260164438,1,0,0.4797384221573508
M,300.7,311.8,1407,42.4,224,11.100000000000023,0.030135039090241553,0,0,0.30737182879559954
L,301.7,309.9,1524,46.6,104,8.199999999999989,0.030577427821502245,0,0,0.6555976413660025
H,300.4,311.3,2026,20.3,26,10.900000000000034,0.010019743336618944,0,0,0.06391999672386264
L,299.3,308.8,1636,29.9,201,9.5,0.018276283618570734,0,0,0.2548055870269004
M,297.3,308.0,1598,29.4,148,10.699999999999989,0.018397997496859574,0,0,0.0652371960324213
H,298.6,309.7,1672,27.5,54,11.099999999999966,0.016447368421042795,0,0,0.023555022669590805
L,298.4,309.4,1385,43.2,119,11.0,0.031191335740049685,0,0,0.13963043592071336
L,299.9,309.3,1473,40.4,59,9.400000000000034,0.02742701968769353,0,0,0.160059703605778
M,300.6,309.8,1694,31.1,187,9.199999999999989,0.01835891381344843,0,0,0.3568882336793465
L,301.2,310.8,1233,64.6,45,9.600000000000023,0.05239253852388289,0,1,0.8692091402201233
M,300.1,309.3,1469,43.9,20,9.199999999999989,0.029884275016998037,0,0,0.1900098957333839
L,299.2,309.1,1578,38.1,109,9.900000000000034,0.02414448669199991,0,0,0.19753000377612664
M,299.6,309.0,1539,36.1,76,9.399999999999977,0.02345679012344155,0,0,0.12950999682333877
M,300.3,309.9,1447,46.5,28,9.599999999999966,0.03213545266065505,0,0,0.22119869503964112
L,299.2,308.6,1267,68.2,76,9.400000000000034,0.053827940015742835,1,1,0.9458187356777976
L,302.4,311.4,1475,40.4,126,9.0,0.027389830508456007,0,0,0.34298336862880296
L,301.1,312.3,1587,34.5,115,11.199999999999989,0.02173913043476891,0,0,0.07375333292492603
M,297.4,308.7,1798,23.0,135,11.300000000000011,0.012791991101216467,0,0,0.05082283435365171
L,298.2,307.8,1515,46.7,74,9.600000000000023,0.030825082508230482,0,0,0.35560142531438493
L,302.4,311.4,1831,26.9,121,9.0,0.014691425450565433,0,0,0.2873306386947523
L,298.7,308.4,1373,46.9,60,9.699999999999989,0.03415877640201445,0,0,0.2512649560477362
M,297.6,309.5,1709,32.2,65,11.899999999999977,0.018841427735506823,0,0,0.03478633165407265
H,297.6,309.6,1428,46.6,13,12.0,0.03263305322126567,0,0,0.05179066484484284
H,298.6,309.1,1423,44.3,29,10.5,0.03113141250876238,0,0,0.09984907772981422
L,303.7,312.5,1481,33.3,182,8.800000000000011,0.022484807562442616,0,0,0.27729875544392374
L,298.7,309.9,1593,42.5,146,11.199999999999989,0.026679221594459086,0,0,0.24617178792430872
L,300.4,310.8,1390,52.5,144,10.400000000000034,0.0377697841726347,0,0,0.585825261691017
L,297.7,308.4,1487,41.4,84,10.699999999999989,0.027841291190297348,0,0,0.11702661296146791
M,300.7,311.7,1412,49.1,219,11.0,0.034773371104791236,0,0,0.5651634199393357
M,301.1,310.7,1621,31.0,108,9.599999999999966,0.019123997532375616,0,0,0.11801656497579992
H,298.8,308.2,1450,44.7,14,9.399999999999977,0.030827586206875292,0,0,0.17212472032549472
L,297.5,308.3,1435,40.3,197,10.800000000000011,0.02808362369336022,0,0,0.2271917192377351
H,299.0,310.4,1677,30.8,73,11.399999999999977,0.01836612999402602,0,0,0.038086933608022275
L,299.6,309.1,1369,51.4,164,9.5,0.03754565376184255,0,0,0.7038879481095817
L,300.7,310.2,1569,32.8,31,9.5,0.02090503505416131,0,0,0.06084646447602329
M,300.8,311.4,1852,22.2,53,10.599999999999966,0.01198704103671059,0,0,0.04407483131766095
M,299.5,309.3,1675,29.2,132,9.800000000000011,0.017432835820885114,0,0,0.13075508203413042
L,300.3,311.1,1388,49.4,128,10.800000000000011,0.03559077809795707,0,0,0.3636170803077762
L,300.8,311.4,1492,40.6,20,10.599999999999966,0.027211796246630556,0,0,0.06511778971875559
L,297.3,307.9,1628,30.2,80,10.599999999999966,0.018550368550357157,0,0,0.04554486680253514
L,302.3,311.0,1428,47.9,174,8.699999999999989,0.03354341736692329,0,0,0.7412823542528312
M,299.7,309.2,1608,34.4,68,9.5,0.021393034825857343,0,0,0.11944333417855568
L,303.5,311.6,1428,46.2,139,8.100000000000023,0.032352941176447936,0,0,0.6906387359153814
L,298.9,308.6,1400,49.5,79,9.700000000000045,0.0353571428571176,0,0,0.39599453655117656
H,297.3,308.0,1384,49.1,206,10.699999999999989,0.03547687861269113,0,0,0.5482602245752846
L,298.4,309.5,1520,38.1,106,11.100000000000023,0.02506578947366772,0,0,0.08443192799757003
M,302.7,312.4,1422,44.5,49,9.699999999999989,0.03129395218000612,0,0,0.19618104435297262
L,298.8,310.5,1384,52.8,200,11.699999999999989,0.038150289017313474,0,0,0.5423014986276349
L,297.7,309.3,1559,36.9,145,11.600000000000023,0.023669018601652554,0,0,0.09034934126079903
M,296.6,307.5,1566,35.0,201,10.899999999999977,0.022349936143025318,0,0,0.16851728665839405
L,300.1,310.5,1500,39.8,107,10.399999999999977,0.02653333333331564,0,0,0.14940120272137591
M,300.0,309.6,1587,32.6,152,9.600000000000023,0.020541902961549754,0,0,0.18102426170976624
M,300.9,310.0,1600,36.0,204,9.100000000000023,0.022499999999985937,0,0,0.47149347320018914
M,299.2,310.3,1551,44.8,18,11.100000000000023,0.02888459058669962,0,0,0.09663735249297224
M,302.0,310.6,1623,34.3,9,8.600000000000023,0.02113370301908741,0,0,0.12144991570830128
M,302.5,311.9,1340,59.4,60,9.399999999999977,0.04432835820892214,0,0,0.763716666726585
M,304.2,313.4,1329,54.5,75,9.199999999999989,0.0410082768998939,0,0,0.6616922394331439
H,297.4,308.7,1726,26.8,158,11.300000000000011,0.015527230590952765,0,0,0.07012787432990811
L,300.9,310.8,1708,29.1,14,9.900000000000034,0.01703747072598534,0,0,0.048105047061120225
L,297.5,309.0,1320,54.7,179,11.5,0.04143939393936255,0,0,0.5735845883525273
L,298.9,310.2,1562,42.5,179,11.300000000000011,0.027208706786154155,0,0,0.2816193045336427
M,297.3,308.5,1664,28.9,174,11.199999999999989,0.017367788461528023,0,0,0.08105883771242661
M,304.3,313.3,1540,39.0,14,9.0,0.02532467532465888,0,0,0.14355613845047374
M,301.2,310.4,1697,30.0,120,9.199999999999989,0.0176782557454227,0,0,0.19641958857986888
M,300.8,310.2,1598,36.5,195,9.399999999999977,0.022841051314128384,0,0,0.4188528990752073
M,301.1,311.1,1592,35.7,174,10.0,0.022424623115563806,0,0,0.2625586297435843
H,301.5,310.9,1524,40.4,124,9.399999999999977,0.02650918635168864,0,0,0.3176475334274314
M,298.4,308.6,1527,40.9,96,10.200000000000045,0.026784544859183506,0,0,0.1758291145076017
L,296.7,307.7,1502,43.9,84,11.0,0.02922769640477415,0,0,0.1414092142021569
L,299.0,310.0,1360,48.1,37,11.0,0.035367647058797524,0,0,0.12762825535412584
L,302.6,311.8,1638,35.1,17,9.199999999999989,0.02142857142855835,0,0,0.11533750182450664
L,302.6,312.2,1377,45.5,54,9.599999999999966,0.03304284676831297,0,0,0.22771366505405263
M,302.3,311.7,1640,31.5,199,9.399999999999977,0.01920731707315902,0,0,0.32112424043770094
L,302.3,310.8,1421,41.4,102,8.5,0.02913441238562341,0,0,0.3501183477611655
L,302.0,310.7,1657,31.9,37,8.699999999999989,0.019251659625818193,0,0,0.13124863766636768
L,300.7,311.1,1688,30.7,161,10.400000000000034,0.01818720379145842,0,0,0.16381944490514574
M,299.0,310.4,1394,45.2,122,11.399999999999977,0.03242467718792509,0,0,0.15573951487684834
L,295.6,306.1,1372,55.6,215,10.5,0.040524781341078335,1,0,0.8021902796217119
M,302.2,310.9,1771,27.6,54,8.699999999999989,0.015584415584406786,0,0,0.15378727864794595
L,300.3,309.5,1551,37.9,42,9.199999999999989,0.024435847840087403,0,0,0.14180411315449992
L,299.0,310.3,1577,40.0,181,11.300000000000011,0.02536461636016147,0,0,0.22921785228048822
M,297.5,308.1,1907,23.5,125,10.600000000000023,0.012323020450963649,0,0,0.12797001659422802
L,303.1,312.6,1548,36.4,150,9.5,0.02351421188628972,0,0,0.2686872512617113
L,302.7,310.5,1642,30.8,195,7.800000000000011,0.018757612667467262,0,0,0.5253000656079637
M,299.0,310.1,1593,35.4,5,11.100000000000023,0.022222222222208272,0,0,0.02794295688760592
L,297.9,308.8,1386,48.6,75,10.900000000000034,0.035064935064909764,0,0,0.20333632378014665
L,300.8,310.2,1492,46.3,187,9.399999999999977,0.031032171581748636,0,0,0.657443644094128
H,299.3,310.4,1548,41.6,25,11.099999999999966,0.026873385012902536,0,0,0.06871558390058406
L,302.4,311.8,1433,42.2,134,9.400000000000034,0.029448709002072963,0,0,0.34222845409131186
M,298.4,309.5,1484,41.7,119,11.100000000000023,0.02809973045820209,0,0,0.13485527509729908
L,303.5,312.3,1946,21.1,112,8.800000000000011,0.010842754367928652,0,0,0.2955347631678437
L,299.2,308.2,1466,41.3,8,9.0,0.028171896316488285,0,0,0.13463900228932343
L,299.9,309.3,1471,41.8,109,9.400000000000034,0.028416043507798493,0,0,0.28364294317678784
L,297.6,309.4,1628,33.4,229,11.799999999999955,0.020515970515957913,0,0,0.1493347176495273
L,300.5,311.9,1350,51.7,18,11.399999999999977,0.038296296296267934,0,0,0.1486826883445727
L,300.4,309.7,1488,35.7,177,9.300000000000011,0.023991935483854848,0,0,0.2692323985348396
M,300.5,310.5,1469,42.9,14,10.0,0.02920353982298897,0,0,0.10642069249274656
L,299.0,310.4,1512,38.8,109,11.399999999999977,0.025661375661358687,0,0,0.08006712959039824
L,302.1,311.4,1686,30.9,106,9.299999999999955,0.018327402135220446,0,0,0.18115934494432756
M,296.1,307.0,1523,42.0,164,10.899999999999977,0.027577150361111243,0,0,0.2402319019314478
L,300.5,311.7,1811,26.8,47,11.199999999999989,0.014798453892868694,0,0,0.0408380360888856
M,298.8,309.8,1288,61.9,79,11.0,0.04805900621114281,0,0,0.6869154627978551
M,297.4,308.7,1392,46.4,174,11.300000000000011,0.03333333333330939,0,0,0.28192187359445875
L,298.9,310.2,1411,46.5,202,11.300000000000011,0.03295535081500145,0,0,0.37121721414210357
L,296.2,307.3,1711,29.9,42,11.100000000000023,0.01747516072471217,0,0,0.03251514990404213
M,297.9,309.9,1410,55.4,188,12.0,0.039290780141816105,0,0,0.5664646374053796
M,299.1,308.5,1592,34.2,153,9.399999999999977,0.021482412060288017,0,0,0.23933748223161672
L,298.7,309.8,1322,57.0,140,11.100000000000023,0.04311649016638191,0,0,0.6315601937085445
L,298.9,310.3,1484,43.8,124,11.400000000000034,0.029514824797823774,0,0,0.16313512248384904
L,298.0,307.5,1644,32.8,215,9.5,0.019951338199501244,0,0,0.3715255036834259
M,298.8,310.6,1640,33.8,9,11.800000000000011,0.020609756097548407,0,0,0.019101073682909402
L,297.1,308.2,1351,56.6,126,11.099999999999966,0.041894892672063734,0,0,0.5732034100671748
L,298.2,307.8,1749,26.1,66,9.600000000000023,0.014922813036012051,0,0,0.07628983333887222
L,301.8,310.8,1456,46.6,35,9.0,0.03200549450547253,0,0,0.32401678513633475
L,295.5,306.0,1621,29.5,176,10.5,0.01819864281306712,0,0,0.10471349333553125
L,296.9,307.8,1466,45.7,153,10.900000000000034,0.03117326057296646,0,0,0.300314685429307
L,302.5,311.4,1759,24.6,124,8.899999999999977,0.013985218874352482,0,0,0.18216617477395453
M,301.4,310.0,1651,29.8,44,8.600000000000023,0.018049666868553575,0,0,0.10864314268851212
L,298.9,310.2,1498,50.2,160,11.300000000000011,0.03351134846459712,0,0,0.44877838157685956
L,299.0,308.6,1648,30.8,98,9.600000000000023,0.018689320388338173,0,0,0.11474256124417806
L,297.6,308.5,1572,35.9,71,10.899999999999977,0.022837150127211936,0,0,0.05919176386810148
L,298.6,309.3,1449,46.5,26,10.699999999999989,0.03209109730846647,0,0,0.1251922213306012
L,297.8,308.4,1512,39.9,181,10.599999999999966,0.026388888888871434,0,0,0.25392122483169277
M,303.7,312.4,1546,33.7,149,8.699999999999989,0.02179818887450078,0,0,0.2803957766610577
M,301.7,309.9,1452,41.5,86,8.199999999999989,0.02858126721761117,0,0,0.36802996770963825
L,298.4,309.1,1798,29.6,81,10.700000000000045,0.016462736373739455,0,0,0.09288746574641439
M,298.9,309.6,1284,55.3,166,10.700000000000045,0.04306853582551163,0,0,0.6774191040632143
L,298.4,308.7,1523,36.1,126,10.300000000000011,0.023703217334193238,0,0,0.12120364690896654
L,301.5,310.5,1593,32.9,155,9.0,0.020652856246063618,0,0,0.2695936045311275
L,297.2,308.1,1662,31.3,0,10.900000000000034,0.018832731648604793,0,0,0.02295014736126945
L,299.8,310.9,2084,17.6,175,11.099999999999966,0.008445297504794412,0,0,0.23641868425721035
L,298.6,309.1,1537,35.7,198,10.5,0.023227065712411697,0,0,0.2075353472584958
L,302.6,312.1,1782,26.8,198,9.5,0.015039281705939933,0,0,0.33806556066118887
L,301.4,311.1,1495,36.3,193,9.700000000000045,0.024280936454833254,0,0,0.2835367062740227
M,299.1,308.7,2008,20.3,178,9.599999999999966,0.010109561752983014,0,0,0.381938129189302
L,297.4,308.6,1459,41.3,196,11.200000000000045,0.02830705962986408,0,0,0.22313576775509397
L,297.8,309.2,1372,47.3,15,11.399999999999977,0.034475218658867,0,0,0.07385131742474876
L,297.7,308.2,1334,53.0,156,10.5,0.03973013493250395,0,0,0.5922732801614639
L,300.7,309.8,1596,31.5,123,9.100000000000023,0.01973684210525079,0,0,0.16892259258067444
L,299.4,309.1,1464,40.5,215,9.700000000000045,0.027663934426210613,0,0,0.44544121763642974
L,298.4,309.7,1530,38.6,161,11.300000000000011,0.025228758169918153,0,0,0.14023493304855864
M,296.7,307.8,1672,32.4,113,11.100000000000023,0.01937799043061042,0,0,0.07451104419737317
